File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Common_Query_CH_USDA_mutated_RESCRIPT,499,430,2071,1384,183,1433,2830,9,161
All_Common_Query_CH_USDA_mutated_METACURATOR,455,193,2352,1260,114,1626,2902,8,90
All_Common_Query_CH_USDA_mutated_OBITOOLS,524,357,2119,1429,186,1385,2884,8,108
