File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Query_GH_USDA_OBITOOLS,227,271,2502,832,100,2068,1506,13,1481
All_Query_GH_USDA_METACURATOR,301,266,2433,969,95,1936,1782,8,1210
All_Query_GH_USDA_RESCRIPT,177,323,2500,852,79,2069,1598,8,1394
