File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Query_CH_USDA_mutated_OBITOOLS,484,441,2075,1479,174,1347,2860,11,129
All_Query_CH_USDA_mutated_METACURATOR,361,186,2453,1062,130,1808,2648,18,334
All_Query_CH_USDA_mutated_mutated_RESCRIPT,473,437,2090,1514,173,1313,2854,13,133
