File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Common_Query_GH_USDA_mutated_RESCRIPT,153,240,2607,660,132,2208,1564,7,1429
All_Common_Query_GH_USDA_mutated_OBITOOLS,184,178,2638,584,124,2292,1479,9,1512
All_Common_Query_GH_USDA_mutated_METACURATOR,320,190,2490,793,93,2114,1781,7,1212
