File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Query_CD_USDA_mutated_METACURATOR,1334,699,967,2596,164,240,2979,9,12
All_Query_CD_USDA_mutated_mutated_RESCRIPT,1271,709,1020,2624,150,226,2989,8,3
All_Query_CD_USDA_mutated_OBITOOLS,1161,876,963,2561,209,230,2993,3,4
