File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Query_GH_USDA_mutated_OBITOOLS,185,227,2588,765,105,2130,1509,11,1480
All_Query_GH_USDA_mutated_mutated_RESCRIPT,140,264,2596,788,89,2123,1580,9,1411
All_Query_GH_USDA_mutated_METACURATOR,275,196,2529,893,80,2027,1742,9,1249
