File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Common_Query_GH_USDA_METACURATOR,364,251,2385,901,115,1984,1808,7,1185
All_Common_Query_GH_USDA_OBITOOLS,234,227,2539,662,117,2221,1470,13,1517
All_Common_Query_GH_USDA_RESCRIPT,192,280,2528,718,121,2161,1587,7,1406
