File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Query_CD_USDA_OBITOOLS,1242,1107,651,2521,270,209,2993,4,3
All_Query_CD_USDA_METACURATOR,1506,974,520,2636,225,139,2985,6,9
All_Query_CD_USDA_RESCRIPT,1439,997,564,2624,219,157,2988,9,3
