File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Query_CH_USDA_OBITOOLS,628,732,1640,1712,211,1077,2910,14,76
All_Query_CH_USDA_RESCRIPT,637,745,1618,1721,216,1063,2899,17,84
All_Query_CH_USDA_METACURATOR,507,284,2209,1320,139,1541,2711,21,268
