File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Common_Query_CD_USDA_METACURATOR,1726,842,432,2713,182,105,2991,9,0
All_Common_Query_CD_USDA_OBITOOLS,1543,927,530,2567,242,191,2990,7,3
All_Common_Query_CD_USDA_RESCRIPT,1660,870,470,2632,210,158,2988,9,3
