File,Species_C,Species_M,Species_U,Genus_C,Genus_M,Genus_U,Family_C,Family_M,Family_U
All_Common_Query_CH_USDA_OBITOOLS,734,653,1613,1655,245,1100,2924,9,67
All_Common_Query_CH_USDA_METACURATOR,652,298,2050,1548,123,1329,2970,10,20
All_Common_Query_CH_USDA_RESCRIPT,690,689,1621,1620,210,1170,2875,19,106
