Scientific Name
Astragalus canadensis
Astragalus michauxii
Astragalus villosus
Astranthium integrifolium
Astrolepis sinuata
Athyrium filix-femina
Atriplex cristata
Atriplex patula
Aureolaria flava
Aureolaria laevigata
Aureolaria patula
Aureolaria pectinata
Aureolaria pedicularia
Aureolaria virginica
Avena sativa
Axonopus compressus
Axonopus fissifolius
Axonopus furcatus
Azolla caroliniana
Baccharis angustifolia
Baccharis glomeruliflora
Baccharis halimifolia
Bacopa caroliniana
Bacopa innominata
Bacopa monnieri
Balduina angustifolia
Balduina atropurpurea
Balduina uniflora
Baptisia x fulva
Baptisia x serenae
Baptisia alba
Baptisia albescens
Baptisia arachnifera
Baptisia australis
Baptisia bracteata
Baptisia cinerea
Baptisia lanceolata
Baptisia lecontei
Baptisia megacarpa
Baptisia perfoliata
Baptisia tinctoria
Barbarea verna
Barbarea vulgaris
Bartonia paniculata
Bartonia verna
Bartonia virginica
Batis maritima
Begonia cucullata
Bejaria racemosa
Belamcanda chinensis
Berberis canadensis
Berberis thunbergii
Berchemia scandens
Berlandiera pumila
Betula alleghaniensis
Betula lenta
Betula nigra
Betula pubescens
Bidens alba
Bidens aristosa
Bidens bipinnata
Bidens cernua
Bidens connata
Bidens coronata
Bidens discoidea
Bidens frondosa
Bidens laevis
Bidens mitis
Bidens pilosa
Bidens tripartita
Bidens vulgata
Bigelowia nudata
Bigelowia nuttallii
Bignonia capreolata
Blechnum occidentale
Blephilia ciliata
Blephilia hirsuta
Boehmeria cylindrica
Boehmeria nivea
Boerhavia coccinea
Boerhavia diffusa
Boerhavia erecta
Bolboschoenus novae-angliae
Bolboschoenus robustus
Boltonia asteroides
Boltonia caroliniana
Boltonia diffusa
Borrichia frutescens
Bothriochloa hybrida
Bothriochloa ischaemum
Bothriochloa laguroides
Botrychium biternatum
Botrychium dissectum
Botrychium jenmanii
Botrychium lunarioides
Botrychium virginianum
Bouteloua curtipendula
Bouteloua dactyloides
Bouteloua hirsuta
Boykinia aconitifolia
Brachyelytrum aristosum
Brachyelytrum erectum
Brasenia schreberi
Brassica juncea
Brassica napus
Brassica oleracea
Brassica rapa
Brickellia cordifolia
Brickellia eupatorioides
Briza maxima
Briza minor
Bromus arvensis
Bromus catharticus
Bromus diandrus
Bromus inermis
Bromus nottowayanus
Bromus pubescens
Bromus racemosus
Bromus secalinus
Bromus tectorum
Broussonetia papyrifera
Brugmansia versicolor
Brunnichia ovata
Buchnera americana
Buchnera longifolia
Buddleja davidii
Buddleja lindleyana
Buddleja officinalis
Buglossoides arvensis
Bulbostylis barbata
Bulbostylis capillaris
Bulbostylis ciliatifolia
Bulbostylis stenophylla
Bulbostylis warei
Bupleurum rotundifolium
Burmannia biflora
Burmannia capitata
Cabomba caroliniana
Caesalpinia gilliesii
Cakile edentula
Calamagrostis canadensis
Calamagrostis coarctata
Calamagrostis porteri
Calamintha nepeta
Callicarpa americana
Callirhoe papaver
Callirhoe triangulata
Callisia cordifolia
Callisia graminea
Callisia rosea
Callitriche heterophylla
Callitriche pedunculosa
Callitriche peploides
Callitriche terrestris
Calopogon barbatus
Calopogon multiflorus
Calopogon oklahomensis
Calopogon pallidus
Calopogon tuberosus
Calycanthus brockianus
Calycanthus floridus
Calycocarpum lyonii
Calydorea coelestina
Calyptocarpus vialis
Calystegia catesbeiana
Calystegia macounii
Calystegia sepium
Calystegia silvatica
Calystegia spithamaea
Camassia scilloides
Camelina microcarpa
Camellia japonica
Camellia sasanqua
Camellia sinensis
Campanula aparinoides
Campanula divaricata
Campanulastrum americanum
Campsis radicans
Canavalia ensiformis
Canna x generalis
Canna flaccida
Canna indica
Cannabis sativa
Capsella bursa-pastoris
Capsicum annuum
Cardamine angustata
Cardamine bulbosa
Cardamine concatenata
Cardamine diphylla
Cardamine dissecta
Cardamine flagellifera
Cardamine flexuosa
Cardamine hirsuta
Cardamine parviflora
Cardamine pensylvanica
Cardiospermum halicacabum
Carduus nutans
Carex x aestivaliformis
Carex abscondita
Carex acidicola
Carex aestivalis
Carex alata
Carex albicans
Carex albolutescens
Carex albursina
Carex amphibola
Carex annectens
Carex appalachica
Carex atlantica
Carex aureolensis
Carex austrocaroliniana
Carex austrodeflexa
Carex baltzellii
Carex barrattii
Carex basiantha
Carex biltmoreana
Carex blanda
Carex bromoides
Carex brunnescens
Carex bullata
Carex bushii
Carex buxbaumii
Carex calcifugens
Carex careyana
Carex caroliniana
Carex cephalophora
Carex chapmanii
Carex cherokeensis
Carex collinsii
Carex communis
Carex comosa
Carex complanata
Carex corrugata
Carex crawei
Carex crebriflora
Carex crinita
Carex crus-corvi
Carex cumberlandensis
Carex dasycarpa
Carex debilis
Carex decomposita
Carex digitalis
Carex eburnea
Carex elliottii
Carex festucacea
Carex fissa
Carex flaccosperma
Carex floridana
Carex folliculata
Carex frankii
Carex gholsonii
Carex gigantea
Carex glaucescens
Carex godfreyi
Carex gracilescens
Carex gracillima
Carex granularis
Carex gravida
Carex grayi
Carex gynandra
Carex hirsutella
Carex hyalinolepis
Carex hystericina
Carex intumescens
Carex joorii
Carex kraliana
Carex laevivaginata
Carex laxiculmis
Carex laxiflora
Carex leavenworthii
Carex leptalea
Carex lonchocarpa
Carex longii
Carex louisianica
Carex lucorum
Carex lupuliformis
Carex lupulina
Carex lurida
Carex manhartii
Carex meadii
Carex mesochorea
Carex misera
Carex mitchelliana
Carex muehlenbergii
Carex nigromarginata
Carex normalis
Carex oligocarpa
Carex oxylepis
Carex pedunculata
Carex pensylvanica
Carex picta
Carex pigra
Carex planispicata
Carex plantaginea
Carex platyphylla
Carex prasina
Carex projecta
Carex purpurifera
Carex radfordii
Carex radiata
Carex reniformis
Carex retroflexa
Carex reznicekii
Carex roanensis
Carex rosea
Carex ruthii
Carex scabrata
Carex scoparia
Carex seorsa
Carex socialis
Carex sparganioides
Carex squarrosa
Carex stipata
Carex striata
Carex striatula
Carex stricta
Carex styloflexa
Carex superata
Carex swanii
Carex tenax
Carex tenera
Carex texensis
Carex thornei
Carex tonsa
Carex torta
Carex triangularis
Carex tribuloides
Carex turgescens
Carex typhina
Carex umbellata
Carex venusta
Carex verrucosa
Carex virescens
Carex vulpinoidea
Carex woodii
Carphephorus bellidifolius
Carphephorus corymbosus
Carphephorus odoratissimus
Carphephorus paniculatus
Carphephorus pseudoliatris
Carphephorus tomentosus
Carpinus caroliniana
Carya aquatica
Carya carolinae-septentrionalis
Carya cordiformis
Carya glabra
Carya illinoinensis
Carya laciniosa
Carya myristiciformis
Carya ovalis
Carya ovata
Carya pallida
Carya texana
Carya tomentosa
Castanea x neglecta
Castanea dentata
Castanea mollissima
Castanea pumila
Castilleja coccinea
Catalpa bignonioides
Catalpa speciosa
Catharanthus roseus
Caulophyllum thalictroides
Cayaponia quinqueloba
Ceanothus americanus
Ceanothus microphyllus
Ceanothus serpyllifolius
Cedrus deodara
Celastrus orbiculatus
Celastrus scandens
Celtis laevigata
Celtis occidentalis
Celtis pumila
Cenchrus brownii
Cenchrus echinatus
Cenchrus gracillimus
Cenchrus longispinus
Cenchrus myosuroides
Cenchrus spinifex
Cenchrus tribuloides
Centaurea cyanus
Centaurea melitensis
Centaurea stoebe
Centaurium erythraea
Centella erecta
Centrosema virginianum
Cephalanthus occidentalis
Cerastium arvense
Cerastium brachypodum
Cerastium fontanum
Cerastium glomeratum
Cerastium nutans
Cerastium semidecandrum
Ceratiola ericoides
Ceratophyllum demersum
Ceratophyllum echinatum
Ceratophyllum muricatum
Ceratopteris pteridoides
Cercis canadensis
Cestrum nocturnum
Chaenorhinum minus
Chaerophyllum procumbens
Chaerophyllum tainturieri
Chamaecrista deeringiana
Chamaecrista fasciculata
Chamaecrista nictitans
Chamaecyparis thyoides
Chamaelirium luteum
Chamaesyce bombensis
Chamaesyce cordifolia
Chamaesyce hirta
Chamaesyce humistrata
Chamaesyce hypericifolia
Chamaesyce hyssopifolia
Chamaesyce maculata
Chamaesyce nutans
Chamaesyce ophthalmica
Chamaesyce polygonifolia
Chamaesyce prostrata
Chamaesyce serpens
Chamaesyce serpyllifolia
Chaptalia tomentosa
Chasmanthium latifolium
Chasmanthium laxum
Chasmanthium nitidum
Chasmanthium sessiliflorum
Cheilanthes alabamensis
Cheilanthes lanosa
Cheilanthes tomentosa
Chelidonium majus
Chelone cuthbertii
Chelone glabra
Chelone obliqua
Chenopodium album
Chenopodium berlandieri
Chenopodium murale
Chenopodium standleyanum
Chilopsis linearis
Chimaphila maculata
Chimaphila umbellata
Chionanthus virginicus
Chloris canterai
Chloris virgata
Chlorophytum comosum
Chondrilla juncea
Chrysogonum virginianum
Chrysoma pauciflosculosa
Chrysopsis gossypina
Chrysopsis mariana
Chrysopsis pilosa
Chrysosplenium americanum
Cichorium intybus
Cicuta maculata
Cinna arundinacea
Cinnamomum camphora
Circaea lutetiana
Cirsium altissimum
Cirsium carolinianum
Cirsium discolor
Cirsium horridulum
Cirsium lecontei
Cirsium muticum
Cirsium nuttallii
Cirsium repandum
Cirsium undulatum
Cirsium virginianum
Cirsium vulgare
Cissus trifoliata
Citrullus lanatus
Citrus x aurantium
Cladina subtenuis
Cladium mariscoides
Cladium mariscus
Cladonia cristatella
Cladrastis kentukea
Claytonia caroliniana
Claytonia perfoliata
Claytonia virginica
Cleistes bifaria
Cleistes divaricata
Clematis catesbyana
Clematis crispa
Clematis glaucophylla
Clematis ochroleuca
Clematis reticulata
Clematis socialis
Clematis terniflora
Clematis vinacea
Clematis viorna
Clematis virginiana
Cleome gynandra
Cleome hassleriana
Cleome serrata
Cleome viscosa
Clerodendrum bungei
Clerodendrum indicum
Clerodendrum trichotomum
Clethra acuminata
Clethra alnifolia
Cliftonia monophylla
Clinopodium ashei
Clinopodium brownei
Clinopodium coccineum
Clinopodium dentatum
Clinopodium georgianum
Clinopodium gracile
Clintonia borealis
Clintonia umbellulata
Clitoria mariana
Clitoria ternatea
Cnicus benedictus
Cnidoscolus urens
Cocculus carolinus
Cocos nucifera
Coelorachis cylindrica
Coelorachis rugosa
Coelorachis tessellata
Coelorachis tuberculosa
Collinsonia canadensis
Collinsonia serotina
Collinsonia tuberosa
Collinsonia verticillata
Colocasia esculenta
Comandra umbellata
Commelina benghalensis
Commelina caroliniana
Commelina communis
Commelina diffusa
Commelina erecta
Commelina virginica
Comptonia peregrina
Conium maculatum
Conoclinium coelestinum
Conopholis americana
Conringia orientalis
Consolida ajacis
Convallaria majuscula
Convolvulus arvensis
Conyza bonariensis
Conyza canadensis
Conyza floribunda
Corallorhiza maculata
Corallorhiza odontorhiza
Corallorhiza wisteriana
Corchorus aestuans
