"Species","TaxID"
"Argemone albiflora","99307"
"Argemone mexicana","54796"
"Arisaema dracontium","227496"
"Arisaema triphyllum","78371"
"Aristida beyrichiana","348261"
"Aristida condensata","348188"
"Aristida dichotoma","348198"
"Aristida gyrans","348208"
"Aristida lanosa","348217"
"Aristida longespica","348219"
"Aristida mohrii","348225"
"Aristida oligantha","348227"
"Aristida palustris","348228"
"Aristida purpurascens","348235"
"Aristida spiciformis","348258"
"Aristida tuberculosa","348269"
"Aristolochia macrophylla","12949"
"Aristolochia serpentaria","304188"
"Aristolochia tomentosa","35927"
"Arnica acaulis","436459"
"Arnoglossum atriplicifolium","422314"
"Arnoglossum ovatum","1488545"
"Arnoglossum plantagineum","462386"
"Arnoglossum reniforme","2527769"
"Arnoglossum sulcatum","1488546"
"Aronia x prunifolia","193298"
"Aronia arbutifolia","36594"
"Aronia melanocarpa","661339"
"Arrhenatherum elatius","52139"
"Artemisia ludoviciana","86312"
"Artemisia vulgaris","4220"
"Arthraxon hispidus","330157"
"Aruncus dioicus","32220"
"Arundinaria appalachiana","591208"
"Arundinaria gigantea","4591"
"Arundinaria tecta","280854"
"Arundo donax","35708"
"Asarum canadense","28498"
"Asclepias amplexicaulis","659936"
"Asclepias cinerea","659945"
"Asclepias connivens","659947"
"Asclepias exaltata","28506"
"Asclepias hirtella","528288"
"Asclepias humistrata","528289"
"Asclepias incarnata","330158"
"Asclepias lanceolata","659965"
"Asclepias longifolia","397860"
"Asclepias michauxii","659979"
"Asclepias obovata","659984"
"Asclepias pedicellata","659988"
"Asclepias perennis","528296"
"Asclepias purpurascens","528298"
"Asclepias quadrifolia","659995"
"Asclepias rubra","659998"
"Asclepias syriaca","48545"
"Asclepias tomentosa","660010"
"Asclepias tuberosa","141466"
"Asclepias variegata","660013"
"Asclepias verticillata","528305"
"Asclepias viridiflora","528306"
"Asclepias viridis","113195"
"Asclepias viridula","660018"
"Asimina x nashii","690724"
"Asimina angustifolia","306984"
"Asimina incana","690726"
"Asimina parviflora","137664"
"Asimina reticulata","690729"
"Asimina triloba","12953"
"Asparagus officinalis","4686"
"Asparagus setaceus","272863"
"Asplenium x ebenoides","2886085"
"Asplenium heterochroum","280649"
"Asplenium montanum","243998"
"Asplenium platyneuron","210162"
"Asplenium resiliens","280657"
"Asplenium rhizophyllum","244004"
"Asplenium ruta-muraria","169379"
"Asplenium trichomanes","78464"
"Aster tataricus","588669"
"Astilbe biternata","657396"
"Astragalus canadensis","20408"
"Astragalus michauxii","3114740"
"Astragalus villosus","1620020"
"Astranthium integrifolium","72899"
"Astrolepis sinuata","414600"
"Athyrium filix-femina","32110"
"Atriplex patula","3551"
"Aureolaria flava","1620021"
"Aureolaria laevigata","1663596"
"Aureolaria pectinata","546856"
"Aureolaria pedicularia","282246"
"Aureolaria virginica","1663598"
"Avena sativa","4498"
"Axonopus compressus","217170"
"Axonopus fissifolius","158093"
"Axonopus furcatus","547410"
"Azolla caroliniana","39631"
"Baccharis angustifolia","1620022"
"Baccharis glomeruliflora","1620023"
"Baccharis halimifolia","114187"
"Bacopa caroliniana","90646"
"Bacopa innominata","3071839"
"Bacopa monnieri","263974"
"Balduina angustifolia","373172"
"Balduina atropurpurea","373173"
"Balduina uniflora","128714"
"Baptisia alba","313911"
"Baptisia albescens","1871509"
"Baptisia australis","149633"
"Baptisia bracteata","313912"
"Baptisia cinerea","313913"
"Baptisia lanceolata","1969221"
"Baptisia lecontei","1969222"
"Baptisia megacarpa","1969223"
"Baptisia perfoliata","1871516"
"Baptisia tinctoria","49797"
"Barbarea verna","50458"
"Barbarea vulgaris","50459"
"Bartonia paniculata","544958"
"Bartonia verna","544962"
"Bartonia virginica","84868"
"Batis maritima","4436"
"Begonia cucullata","473040"
"Bejaria racemosa","45896"
"Belamcanda chinensis","58944"
"Berberis canadensis","258147"
"Berberis thunbergii","121720"
"Berchemia scandens","860322"
"Berlandiera pumila","53576"
"Betula alleghaniensis","21017"
"Betula lenta","216994"
"Betula nigra","3508"
"Betula pubescens","38787"
"Bidens alba","51260"
"Bidens aristosa","1552225"
"Bidens bipinnata","1527831"
"Bidens cernua","51265"
"Bidens connata","1532292"
"Bidens coronata","278099"
"Bidens discoidea","1567017"
"Bidens frondosa","51269"
"Bidens laevis","171344"
"Bidens mitis","171343"
"Bidens pilosa","42337"
"Bidens tripartita","51276"
"Bidens vulgata","2065858"
"Bigelowia nudata","199497"
"Bigelowia nuttallii","199498"
"Bignonia capreolata","353959"
"Blechnum occidentale","32073"
"Blephilia ciliata","182369"
"Blephilia hirsuta","182370"
"Boehmeria cylindrica","1503867"
"Boehmeria nivea","83906"
"Boerhavia coccinea","122400"
"Boerhavia diffusa","930814"
"Boerhavia erecta","363203"
"Bolboschoenus robustus","666188"
"Boltonia asteroides","72904"
"Boltonia diffusa","199499"
"Borrichia frutescens","53578"
"Bothriochloa hybrida","1564036"
"Bothriochloa ischaemum","29660"
"Bothriochloa laguroides","330553"
"Botrychium biternatum","13830"
"Botrychium dissectum","93613"
"Botrychium lunarioides","208696"
"Botrychium virginianum","167744"
"Bouteloua curtipendula","110875"
"Bouteloua dactyloides","160577"
"Bouteloua hirsuta","253226"
"Boykinia aconitifolia","46774"
"Brachyelytrum aristosum","447010"
"Brachyelytrum erectum","38700"
"Brasenia schreberi","4424"
"Brassica juncea","3707"
"Brassica napus","3708"
"Brassica oleracea","3712"
"Brassica rapa","3711"
"Brickellia cordifolia","1193813"
"Brickellia eupatorioides","102754"
"Briza maxima","29665"
"Briza minor","37720"
"Bromus arvensis","55764"
"Bromus catharticus","52150"
"Bromus diandrus","37722"
"Bromus inermis","15371"
"Bromus nottowayanus","254140"
"Bromus pubescens","254147"
"Bromus racemosus","55767"
"Bromus secalinus","4502"
"Bromus tectorum","29667"
"Broussonetia papyrifera","172644"
"Brugmansia versicolor","301915"
"Brunnichia ovata","137673"
"Buchnera americana","1325706"
"Buddleja davidii","28540"
