Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"LAOCO",,"Lappula occidentalis (S. Watson) Greene var. occidentalis ",flatspine stickseed
"LASQ",,"Lappula squarrosa (Retz.) Dumort.",European stickseed
"LACO3",,"Lapsana communis L.",common nipplewort
"LAOC2",,"Lathyrus ochroleucus Hook.",cream pea
"LAPA4",,"Lathyrus palustris L.",marsh pea
"LAVE",,"Lathyrus venosus Muhl. ex Willd.",veiny pea
"LATH",,"Lavatera thuringiaca L.",tree lavatera
"LEIN",,"Lechea intermedia Leggett ex Britton",largepod pinweed
"LEINI2",,"Lechea intermedia Leggett ex Britton var. intermedia ",largepod pinweed
"LEST",,"Lechea stricta Leggett ex Britton",prairie pinweed
"LEGR",,"Ledum groenlandicum Oeder",bog Labrador tea
"LEOR",,"Leersia oryzoides (L.) Sw.",rice cutgrass
"LEVI2",,"Leersia virginica Willd.",whitegrass
"LEMI3",,"Lemna minor L.",common duckweed
"LEPE",,"Lemna perpusilla Torr.",minute duckweed
"LETR",,"Lemna trisulca L.",star duckweed
"LETU2",,"Lemna turionifera Landolt",turion duckweed
"LECA2",,"Leonurus cardiaca L.",common motherwort
"LECAC7",,"Leonurus cardiaca L. ssp. cardiaca ",common motherwort
"LEDE",,"Lepidium densiflorum Schrad.",common pepperweed
"LEPE2",,"Lepidium perfoliatum L.",clasping pepperweed
"LERA2",,"Lepidium ramosissimum A. Nelson",manybranched pepperweed
"LERAR3",,"Lepidium ramosissimum A. Nelson var. ramosissimum ",manybranched pepperweed
"LESA2",,"Lepidium sativum L.",gardencress pepperweed
"LEVI3",,"Lepidium virginicum L.",Virginia pepperweed
"LEVIV2",,"Lepidium virginicum L. var. virginicum ",Virginia pepperweed
"LEFU21",,"Leptochloa fusca (L.) Kunth",Malabar sprangletop
"LEFUF",,"Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow",bearded sprangletop
"LEAL",,"Lesquerella alpina (Nutt.) S. Watson",alpine bladderpod
"LEALA5",,"Lesquerella alpina (Nutt.) S. Watson var. alpina ",alpine bladderpod
"LEAR6",,"Lesquerella arenosa (Richardson) Rydb.",Great Plains bladderpod
"LEARA2",,"Lesquerella arenosa (Richardson) Rydb. var. arenosa ",Great Plains bladderpod
"LELU",,"Lesquerella ludoviciana (Nutt.) S. Watson",foothill bladderpod
"LEVU",,"Leucanthemum vulgare Lam.",oxeye daisy
"LEMO4",,"Leucocrinum montanum Nutt. ex A. Gray",common starlily
"LIFA",,"Liatris ×fallacior (Lunell) Rydb. (pro sp.) [ligulistylis × punctata]",blazing star
"LIAS",,"Liatris aspera Michx.",tall blazing star
"LIASA",,"Liatris aspera Michx. var. aspera ",tall blazing star
"LILI",,"Liatris ligulistylis (A. Nelson) K. Schum.",Rocky Mountain blazing star
"LIPU",,"Liatris punctata Hook.",dotted blazing star
"LIPUP",,"Liatris punctata Hook. var. punctata ",dotted blazing star
"LIPY",,"Liatris pycnostachya Michx.",prairie blazing star
"LIPYP",,"Liatris pycnostachya Michx. var. pycnostachya ",prairie blazing star
"LILA8",,"Lilium lancifolium Thunb.",tiger lily
"LIPH",,"Lilium philadelphicum L.",wood lily
"LIPHA",,"Lilium philadelphicum L. var. andinum (Nutt.) Ker Gawl.",wood lily
"LIAQ",,"Limosella aquatica L.",water mudwort
"LIDA",,"Linaria dalmatica (L.) Mill.",Dalmatian toadflax
"LIDAD",,"Linaria dalmatica (L.) Mill. ssp. dalmatica ",Dalmatian toadflax
"LIVU2",,"Linaria vulgaris Mill.",butter and eggs
"LIDU",,"Lindernia dubia (L.) Pennell",yellowseed false pimpernel
"LIDUA",,"Lindernia dubia (L.) Pennell var. anagallidea (Michx.) Cooperr.",yellowseed false pimpernel
"LIDUD",,"Lindernia dubia (L.) Pennell var. dubia ",yellowseed false pimpernel
"LIBO3",,"Linnaea borealis L.",twinflower
"LIBOA",,"Linnaea borealis L. ssp. americana (Forbes) Hultén ex R.T. Clausen",twinflower
"LICO3",,"Linum compactum A. Nelson",Wyoming flax
"LILE3",,"Linum lewisii Pursh",Lewis flax
"LILEL2",,"Linum lewisii Pursh var. lewisii ",prairie flax
"LIRI",,"Linum rigidum Pursh",stiffstem flax
"LIRIR",,"Linum rigidum Pursh var. rigidum ",stiffstem flax
"LIRIS",,"Linum rigidum Pursh var. simulans C.M. Rogers",stiffstem flax
"LISU4",,"Linum sulcatum Riddell",grooved flax
"LISUS",,"Linum sulcatum Riddell var. sulcatum ",grooved flax
"LIUS",,"Linum usitatissimum L.",common flax
"LILO",,"Liparis loeselii (L.) Rich.",yellow widelip orchid
"LIDR3",,"Lipocarpha drummondii (Nees) G. Tucker",Drummond's halfchaff sedge
"LIMI12",,"Lipocarpha micrantha (Vahl) G. Tucker",smallflower halfchaff sedge
"LICA12",,"Lithospermum canescens (Michx.) Lehm.",hoary puccoon
"LIIN2",,"Lithospermum incisum Lehm.",narrowleaf stoneseed
"LOKA",,"Lobelia kalmii L.",Ontario lobelia
"LOSI",,"Lobelia siphilitica L.",great blue lobelia
"LOSIL",,"Lobelia siphilitica L. var. ludoviciana A. DC.",great blue lobelia
"LOSP",,"Lobelia spicata Lam.",palespike lobelia
"LOSPH",,"Lobelia spicata Lam. var. hirtella A. Gray",palespike lobelia
"LOSPS4",,"Lobelia spicata Lam. var. spicata ",palespike lobelia
"LOPE",,"Lolium perenne L.",perennial ryegrass
"LOPEM2",,"Lolium perenne L. ssp. multiflorum (Lam.) Husnot",Italian ryegrass
"LOPEP",,"Lolium perenne L. ssp. perenne ",perennial ryegrass
"LOPE2",,"Lolium persicum Boiss. & Hohen. ex Boiss.",Persian ryegrass
"LOTE2",,"Lolium temulentum L.",Darnel ryegrass
"LOTET",,"Lolium temulentum L. ssp. temulentum ",Darnel ryegrass
"LOCO4",,"Lomatium cous (S. Watson) J.M. Coult. & Rose",cous biscuitroot
"LOFO",,"Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose",desert biscuitroot
"LOFOF2",,"Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. foeniculaceum ",desert biscuitroot
"LOMA3",,"Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose",bigseed biscuitroot
"LOOR",,"Lomatium orientale J.M. Coult. & Rose",Northern Idaho biscuitroot
"LODI2",,"Lonicera dioica L.",limber honeysuckle
"LOMA6",,"Lonicera maackii (Rupr.) Herder",Amur honeysuckle
"LOTA",,"Lonicera tatarica L.",Tatarian honeysuckle
"LOCO6",,"Lotus corniculatus L.",bird's-foot trefoil
"LOCOC5",,"Lotus corniculatus L. var. corniculatus ",bird's-foot trefoil
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"LUAR3",,"Lupinus argenteus Pursh",silvery lupine
"LUARA5",,"Lupinus argenteus Pursh ssp. argenteus ",silvery lupine
"LUARA11",,"Lupinus argenteus Pursh ssp. argenteus var. argenteus ",silvery lupine
"LUARL5",,"Lupinus argenteus Pursh ssp. argenteus var. laxiflorus (Douglas ex Lindl.) Dorn",silvery lupine
"LUPA8",,"Lupinus parviflorus Nutt. ex Hook. & Arn.",lodgepole lupine
"LUPAP4",,"Lupinus parviflorus Nutt. ex Hook. & Arn. ssp. parviflorus ",lodgepole lupine
