Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"LESAS",,"Leymus salinus (M.E. Jones) Á. Löve ssp. salinus ",saline wildrye
"LESI5",,"Leymus simplex (Scribn. & T.A. Williams) D.R. Dewey",alkali wildrye
"LETR5",,"Leymus triticoides (Buckley) Pilg.",beardless wildrye
"LILA",,"Liatris lancifolia (Greene) Kittell",lanceleaf blazing star
"LILI",,"Liatris ligulistylis (A. Nelson) K. Schum.",Rocky Mountain blazing star
"LIPU",,"Liatris punctata Hook.",dotted blazing star
"LIPUP",,"Liatris punctata Hook. var. punctata ",dotted blazing star
"LICA2",,"Ligusticum canbyi (J.M. Coult. & Rose) J.M. Coult. & Rose",Canby's licorice-root
"LIFI",,"Ligusticum filicinum S. Watson",fernleaf licorice-root
"LIPO",,"Ligusticum porteri J.M. Coult. & Rose",Porter's licorice-root
"LIPOP",,"Ligusticum porteri J.M. Coult. & Rose var. porteri ",Porter's licorice-root
"LITE2",,"Ligusticum tenuifolium S. Watson",Idaho licorice-root
"LIPH",,"Lilium philadelphicum L.",wood lily
"LIPHA",,"Lilium philadelphicum L. var. andinum (Nutt.) Ker Gawl.",wood lily
"LIAQ",,"Limosella aquatica L.",water mudwort
"LICA36",,"Linanthus caespitosus (Nutt.) J.M. Porter & L.A. Johnson",mat prickly phlox
"LIPU11",,"Linanthus pungens (Torr.) J.M. Porter & L.A. Johnson",granite prickly phlox
"LIWA4",,"Linanthus watsonii (A. Gray) J.M. Porter & L.A. Johnson",Watson's prickly phlox
"LIDA",,"Linaria dalmatica (L.) Mill.",Dalmatian toadflax
"LIDAD",,"Linaria dalmatica (L.) Mill. ssp. dalmatica ",Dalmatian toadflax
"LIVU2",,"Linaria vulgaris Mill.",butter and eggs
"LIBO3",,"Linnaea borealis L.",twinflower
"LIBOA",,"Linnaea borealis L. ssp. americana (Forbes) Hultén ex R.T. Clausen",twinflower
"LIAU4",,"Linum australe A. Heller",southern flax
"LIAUA",,"Linum australe A. Heller var. australe ",southern flax
"LICO3",,"Linum compactum A. Nelson",Wyoming flax
"LIKI2",,"Linum kingii S. Watson",King's flax
"LILE3",,"Linum lewisii Pursh",Lewis flax
"LILEL2",,"Linum lewisii Pursh var. lewisii ",prairie flax
"LIPU4",,"Linum puberulum (Engelm.) A. Heller",plains flax
"LIRI",,"Linum rigidum Pursh",stiffstem flax
"LIRIR",,"Linum rigidum Pursh var. rigidum ",stiffstem flax
"LIUS",,"Linum usitatissimum L.",common flax
"LIAR6",,"Lipocarpha aristulata (Coville) G. Tucker",awned halfchaff sedge
"LIDR3",,"Lipocarpha drummondii (Nees) G. Tucker",Drummond's halfchaff sedge
"LIBO4",,"Listera borealis Morong",northern twayblade
"LICA10",,"Listera caurina Piper",northwestern twayblade
"LICO5",,"Listera convallarioides (Sw.) Nutt. ex Elliott",broadlipped twayblade
"LICO6",,"Listera cordata (L.) R. Br.",heartleaf twayblade
"LICON",,"Listera cordata (L.) R. Br. var. nephrophylla (Rydb.) Hultén",heartleaf twayblade
"LIGL2",,"Lithophragma glabrum Nutt.",bulbous woodland-star
"LIPA5",,"Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray",smallflower woodland-star
"LIPAP3",,"Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray var. parviflorum ",smallflower woodland-star
"LITE4",,"Lithophragma tenellum Nutt.",slender woodland-star
"LIIN2",,"Lithospermum incisum Lehm.",narrowleaf stoneseed
"LIMU3",,"Lithospermum multiflorum Torr. ex A. Gray",manyflowered stoneseed
"LIRU4",,"Lithospermum ruderale Douglas ex Lehm.",western stoneseed
"LLSE",,"Lloydia serotina (L.) Salisb. ex Rchb.",common alplily
"LLSES2",,"Lloydia serotina (L.) Salisb. ex Rchb. var. serotina ",common alplily
"LOSI",,"Lobelia siphilitica L.",great blue lobelia
"LOSIL",,"Lobelia siphilitica L. var. ludoviciana A. DC.",great blue lobelia
"LOMA",,"Lobularia maritima (L.) Desv.",sweet alyssum
"LOSQ",,"Loeflingia squarrosa Nutt.",spreading pygmyleaf
"LOSQA",,"Loeflingia squarrosa Nutt. ssp. artemisiarum Barneby & Twisselmann",spreading pygmyleaf
"LOSQS",,"Loeflingia squarrosa Nutt. ssp. squarrosa ",spreading pygmyleaf
"LOAR5",,"Logfia arvensis (L.) Holub",field cottonrose
"LOPE",,"Lolium perenne L.",perennial ryegrass
"LOPEM2",,"Lolium perenne L. ssp. multiflorum (Lam.) Husnot",Italian ryegrass
"LOPEP",,"Lolium perenne L. ssp. perenne ",perennial ryegrass
"LOPE2",,"Lolium persicum Boiss. & Hohen. ex Boiss.",Persian ryegrass
"LOTE2",,"Lolium temulentum L.",Darnel ryegrass
"LOTET",,"Lolium temulentum L. ssp. temulentum ",Darnel ryegrass
"LOAM",,"Lomatium ambiguum (Nutt.) J.M. Coult. & Rose",Wyeth biscuitroot
"LOAT",,"Lomatium attenuatum Evert",tapertip desertparsley
"LOBI",,"Lomatium bicolor (S. Watson) J.M. Coult. & Rose",Wasatch desertparsley
"LOBIB",,"Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. bicolor ",Wasatch desertparsley
"LOBIL",,"Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. leptocarpum (Torr. & A. Gray) Schlessman",Wasatch desertparsley
"LOCO4",,"Lomatium cous (S. Watson) J.M. Coult. & Rose",cous biscuitroot
"LODI",,"Lomatium dissectum (Nutt.) Mathias & Constance",fernleaf biscuitroot
"LODIM",,"Lomatium dissectum (Nutt.) Mathias & Constance var. multifidum ",carrotleaf biscuitroot
"LOFO",,"Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose",desert biscuitroot
"LOFOF2",,"Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. foeniculaceum ",desert biscuitroot
"LOFOM",,"Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. macdougalii (J.M. Coult. & Rose) W.L. Theobald",Macdougal's biscuitroot
"LOGR6",,"Lomatium graveolens (S. Watson) Dorn & R.L. Hartm.",king desertparsley
"LOGRG",,"Lomatium graveolens (S. Watson) Dorn & R.L. Hartm. var. graveolens ",king desertparsley
"LOGR",,"Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose",Gray's biscuitroot
"LOGRG2",,"Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose var. grayi ",Gray's biscuitroot
"LOJU",,"Lomatium juniperinum (M.E. Jones) J.M. Coult. & Rose",juniper biscuitroot
"LOMA3",,"Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose",bigseed biscuitroot
"LONU3",,"Lomatium nuttallii (A. Gray) J.F. Macbr.",Nuttall's biscuitroot
"LOOR",,"Lomatium orientale J.M. Coult. & Rose",Northern Idaho biscuitroot
"LOSI2",,"Lomatium simplex (Nutt.) J.F. Macbr.",Great Basin desertparsley
