Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGUT",,"Agave utahensis Engelm.",Utah agave
"AGUTE",,"Agave utahensis Engelm. var. eborispina (Hester) Breitung",Utah agave
"AGUTN",,"Agave utahensis Engelm. var. nevadensis Engelm. ex Greenm. & Roush",Nevada agave
"AGUTU",,"Agave utahensis Engelm. var. utahensis ",Utah agave
"AGHE5",,"Ageratina herbacea (A. Gray) R.M. King & H. Rob.",fragrant snakeroot
"AGOC2",,"Ageratina occidentalis (Hook.) R.M. King & H. Rob.",western snakeroot
"AGAU2",,"Agoseris aurantiaca (Hook.) Greene",orange agoseris
"AGAUA",,"Agoseris aurantiaca (Hook.) Greene var. aurantiaca ",orange agoseris
"AGAUP",,"Agoseris aurantiaca (Hook.) Greene var. purpurea (A. Gray) Cronquist",orange agoseris
"AGEL",,"Agoseris elata (Nutt.) Greene",tall agoseris
"AGGL",,"Agoseris glauca (Pursh) Raf.",pale agoseris
"AGGLA",,"Agoseris glauca (Pursh) Raf. var. agrestis (Osterh.) Q. Jones ex Cronquist",pale agoseris
"AGGLG",,"Agoseris glauca (Pursh) Raf. var. glauca ",pale agoseris
"AGGLL",,"Agoseris glauca (Pursh) Raf. var. laciniata (D.C. Eaton) Smiley",false agoseris
"AGGLM",,"Agoseris glauca (Pursh) Raf. var. monticola (Greene) Q. Jones ex Cronquist",pale agoseris
"AGGR",,"Agoseris grandiflora (Nutt.) Greene",bigflower agoseris
"AGHE2",,"Agoseris heterophylla (Nutt.) Greene",annual agoseris
"AGHEH",,"Agoseris heterophylla (Nutt.) Greene var. heterophylla ",annual agoseris
"AGRE",,"Agoseris retrorsa (Benth.) Greene",spearleaf agoseris
"AGCR",,"Agropyron cristatum (L.) Gaertn.",crested wheatgrass
"AGCRP8",,"Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev",crested wheatgrass
"AGDE2",,"Agropyron desertorum (Fisch. ex Link) Schult.",desert wheatgrass
"AGFR",,"Agropyron fragile (Roth) P. Candargy",Siberian wheatgrass
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGEX",,"Agrostis exarata Trin.",spike bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
