Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AGARA",,"Ageratina aromatica (L.) Spach var. aromatica ",lesser snakeroot
"AGARI2",,"Ageratina aromatica (L.) Spach var. incisa (A. Gray) C.F. Reed",lesser snakeroot
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGMI2",,"Agrimonia microcarpa Wallr.",smallfruit agrimony
"AGPA6",,"Agrimonia parviflora Aiton",harvestlice
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGEL4",,"Agrostis elliottiana Schult.",Elliott's bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGME3",,"Agrostis mertensii Trin.",northern bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"AICA",,"Aira caryophyllea L.",silver hairgrass
"AICAC2",,"Aira caryophyllea L. var. caryophyllea ",silver hairgrass
"AIEL4",,"Aira elegans Willd. ex Kunth",annual silver hairgrass
"AIPR",,"Aira praecox L.",yellow hairgrass
"AJCH",,"Ajuga chamaepitys (L.) Schreb.",yellow bugle
"AJRE",,"Ajuga reptans L.",common bugle
"AKQU",,"Akebia quinata (Houtt.) Decne.",chocolate vine
"ALJU",,"Albizia julibrissin Durazz.",silktree
"ALRO3",,"Alcea rosea L.",hollyhock
"ALAU",,"Aletris aurea Walter",golden colicroot
"ALFA2",,"Aletris farinosa L.",white colicroot
"ALGR",,"Alisma gramineum Lej.",narrowleaf water plantain
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALAL4",,"Allium allegheniense Small",Allegheny onion
"ALAM",,"Allium ampeloprasum L.",broadleaf wild leek
"ALAT3",,"Allium atroviolaceum Boiss.",broadleaf wild leek
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCE2",,"Allium cernuum Roth",nodding onion
"ALCEC2",,"Allium cernuum Roth var. cernuum ",nodding onion
"ALOL",,"Allium oleraceum L.",field garlic
"ALSA2",,"Allium sativum L.",cultivated garlic
"ALSC",,"Allium schoenoprasum L.",wild chives
